case_id,priority,status,evidence,observed,remaining,recorded_at_utc,tester,source_identity,fixture_policy
SLP-08,P0,PASS,ios-tests.json,Executed deterministic interval/source/range/DST/page/history cases; large-history deletion and timezone re-keying are asserted.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-01,P0,BLOCKED,dashboard-empty.png;ios-tests.json;server-tests.log,"Upload-off display, immutable queue, local backoff and server pending-metrics behavior checked.","Physical app/private-network consent, stop-in-flight, disconnection and projected UI flow remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-02,P0,NOT_RUN,ios-tests.json;local-core-100k.log,"Stable batch bytes survive reopen; 200-event/128KiB bounds, large metadata, thrown oversize error and complete queue drain pass.",Visible oversize-error recovery has not been exercised in the UI.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-03,P0,NOT_RUN,ios-tests.json;server-tests.log,Local newer deletion remains queued after an older receipt; separate receiver tests reject stale resurrection.,The prepared newer deletion has not been transmitted through the phone-to-receiver path and verified there.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-04,P0,NOT_RUN,server-tests.log;server-concurrency-repeat.log,"Lost-response model, receipt lookup and eight concurrent identical batches produce one commit/job.",Real TCP response loss followed by client process restart was not injected.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-05,P0,NOT_RUN,gateway-transport.log;ios-tests.json,Real client upload method uses SQLite batch bytes unchanged on 503 retry and rejects public origins or mismatched receipts through in-process URLProtocol.,Full status/timeout/receipt-lookup/consent-revocation matrix and real private HTTPS are not exercised.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-06,P1,BLOCKED,dashboard-empty.png;ios-tests.json;server-tests.log,"Upload-off display, immutable queue, local backoff and server pending-metrics behavior checked.","Physical app/private-network consent, stop-in-flight, disconnection and projected UI flow remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-07,P0,BLOCKED,dashboard-empty.png;ios-tests.json;server-tests.log,"Upload-off display, immutable queue, local backoff and server pending-metrics behavior checked.","Physical app/private-network consent, stop-in-flight, disconnection and projected UI flow remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SYNC-08,P1,BLOCKED,dashboard-empty.png;ios-tests.json;server-tests.log,"Upload-off display, immutable queue, local backoff and server pending-metrics behavior checked.","Physical app/private-network consent, stop-in-flight, disconnection and projected UI flow remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-01,P0,PASS,server-tests.log,"Transaction rollback, exact-byte conflicts, exact body bounds, schema validation and two-device isolation all pass.",,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-02,P0,PASS,server-tests.log,"Transaction rollback, exact-byte conflicts, exact body bounds, schema validation and two-device isolation all pass.",,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-03,P0,PASS,server-tests.log,"Transaction rollback, exact-byte conflicts, exact body bounds, schema validation and two-device isolation all pass.",,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-04,P0,PASS,server-tests.log,"Transaction rollback, exact-byte conflicts, exact body bounds, schema validation and two-device isolation all pass.",,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-05,P0,NOT_RUN,server-tests.log;server-concurrency-repeat.log,Expired/invalid/reused codes and eight-way concurrent single redemption pass.,Exact ten-minute clock boundary and complete secret/log audit are not separately executed.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-06,P0,NOT_RUN,server-tests.log,Revocation denies status and preserves stored history.,Operator revocation CLI and every route after revocation still require explicit execution.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-07,P0,NOT_RUN,server-tests.log,Production Swift fixture hash/count/value/unit/source agree with SQLite.,Every stored field and fixture-specific receipt lookup are not all asserted by this fixture test.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
API-08,P1,NOT_RUN,server-tests.log,"1600-event history, revisions/tombstones, receipt and outbox persistence in restored copy pass.",Enabled socket process restart and complete workload ID-set comparison remain.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-01,P0,BLOCKED,server-tests.log;server-http.json,Closed flags and runtime identity loss reject ingest; live local HTTP process stays closed.,Complete Linux gate/mount transition matrix unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-02,P0,FAIL,tokyo-preflight.log,Tokyo 8428 listener is docker-proxy; required health storage directories are absent.,Native process/storage identity and encrypted mounts must be established before upload.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-03,P0,BLOCKED,server-tests.log,Metric-job selection and outage persistence pass.,No verified native VictoriaMetrics process for successful export/rebuild/delete/readback tests.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-04,P0,BLOCKED,server-tests.log,Metric-job selection and outage persistence pass.,No verified native VictoriaMetrics process for successful export/rebuild/delete/readback tests.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-05,P0,FAIL,tokyo-preflight.log;server-http.json,Tokyo has No serve config and inactive receiver; isolated local HTTP check passes.,"Private HTTPS, denied-peer, certificate and external-access evidence missing.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-06,P0,BLOCKED,ios-tests.json,32 origin validation strings and 20 redirect combinations pass; redirects refused.,Certificate and real private-tailnet endpoint UI/capture checks remain.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-07,P0,NOT_RUN,server-tests.log,CLI rejects direct Mac replacement path.,Canonical/symlink alias checks and isolated legacy file-replacement rehearsal not executed.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
OPS-08,P1,BLOCKED,server-http.json;server-tests.log,Closed receiver starts/stops cleanly; transaction failures are tested in process.,"Approved Linux service load, abrupt restart and disk-exhaustion faults remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
ERA-01,P0,BLOCKED,server-tests.log;ios-tests.json,Core erasure/requeue and server pending states are tested.,"Interactive device flow, native metrics deletion and managed expiry/reconsent integration remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
ERA-02,P0,PASS,server-tests.log,Erasure removes A records/receipts/jobs/token/audit atomically; B remains; old token fails.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
ERA-03,P0,NOT_RUN,server-tests.log,Lost-response erase retry and recovery-secret status pass.,Client restart plus full wrong-secret/cross-erasure matrix not executed.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
ERA-04,P0,BLOCKED,server-tests.log;ios-tests.json,Core erasure/requeue and server pending states are tested.,"Interactive device flow, native metrics deletion and managed expiry/reconsent integration remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
ERA-05,P0,BLOCKED,server-tests.log;ios-tests.json,Core erasure/requeue and server pending states are tested.,"Interactive device flow, native metrics deletion and managed expiry/reconsent integration remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BAK-01,P0,BLOCKED,server-tests.log,"WAL-aware snapshot, local restore/readback, operation lock and 29-day manifest pruning pass.","Encrypted target, publish-interruption/process race, failed-removal scheduling alerts and native projection restore remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BAK-02,P0,BLOCKED,server-tests.log,"WAL-aware snapshot, local restore/readback, operation lock and 29-day manifest pruning pass.","Encrypted target, publish-interruption/process race, failed-removal scheduling alerts and native projection restore remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BAK-03,P0,BLOCKED,server-tests.log,"WAL-aware snapshot, local restore/readback, operation lock and 29-day manifest pruning pass.","Encrypted target, publish-interruption/process race, failed-removal scheduling alerts and native projection restore remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BAK-04,P0,BLOCKED,server-tests.log,"WAL-aware snapshot, local restore/readback, operation lock and 29-day manifest pruning pass.","Encrypted target, publish-interruption/process race, failed-removal scheduling alerts and native projection restore remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BAK-05,P0,BLOCKED,server-tests.log,Snapshot restoration is tested only against its original contents.,No accepted independent erasure/revocation journal or disaster-restore reconciliation; keep restored ingest closed.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BAK-06,P0,BLOCKED,tokyo-preflight.log,Rollback sequence documented; no production changes made.,Approved isolated host deployment and rollback drill unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
UX-01,P1,BLOCKED,dashboard-empty.png;ios-tests.json,Visible empty dashboard inspected; simulator unit tests actually ran.,Simulator desktop UI app absent; no physical iPhone for complete flows/accessibility/haptics/locked/background checks.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
UX-02,P1,BLOCKED,dashboard-empty.png;ios-tests.json,Visible empty dashboard inspected; simulator unit tests actually ran.,Simulator desktop UI app absent; no physical iPhone for complete flows/accessibility/haptics/locked/background checks.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
UX-03,P2,BLOCKED,dashboard-empty.png;ios-tests.json,Visible empty dashboard inspected; simulator unit tests actually ran.,Simulator desktop UI app absent; no physical iPhone for complete flows/accessibility/haptics/locked/background checks.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
UX-04,P0,BLOCKED,dashboard-empty.png;ios-tests.json,Visible empty dashboard inspected; simulator unit tests actually ran.,Simulator desktop UI app absent; no physical iPhone for complete flows/accessibility/haptics/locked/background checks.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
UX-05,P1,BLOCKED,dashboard-empty.png;ios-tests.json,Visible empty dashboard inspected; simulator unit tests actually ran.,Simulator desktop UI app absent; no physical iPhone for complete flows/accessibility/haptics/locked/background checks.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
PERF-01,P1,BLOCKED,local-core-100k.log;ios-tests.json,100000 local quantity records and 100001 persisted sleep records pass with measured Mac time/disk.,Phone HealthKit/peak-memory/battery/UI responsiveness and device budgets remain.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
PERF-02,P1,BLOCKED,server-tests.log;tokyo-preflight.log,Bounded synthetic server ingestion is tested.,"Native Tokyo load, projection delay, resource and encrypted backup/restore measurements remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
