case_id,priority,status,verified_subset,remaining_or_failure,evidence
HK-09,P1,NOT_RUN,"UUID/type identity and wire storage exist.","Complete two-source metadata preservation fixture was not executed.","Source review only"
HK-10,P1,BLOCKED,"Cancellation gates have deterministic tests.","Actual foreground/background Health observer timing requires a signed device.","final 78-test simulator run"
DATA-01,P0,NOT_RUN,"All allowlisted unit-conversion groups have deterministic tests.","A complete HealthKit-to-SQLite-to-UI-to-wire oracle for every type was not executed.","final 78-test simulator run"
DATA-02,P0,BLOCKED,"Absolute Celsius conversion and receiver projection-job selection passed.","Physical vital display and native VictoriaMetrics readback remain unavailable.","final 78-test simulator run; Rust tests"
DATA-03,P0,NOT_RUN,"Zero temperature, unsupported type, non-finite value, and receiver invalid-field subsets passed.","The complete missing/mismatched-unit display and projection matrix was not executed.","final 78-test simulator run; Rust tests"
DATA-04,P1,NOT_RUN,"Gregorian predicate construction and activity revision/reopen subsets passed.","The complete day-window failure and rescan contract was not executed.","final 78-test simulator run"
DATA-05,P1,NOT_RUN,"DST, leap-day, explicit-zone, reversed-range, and maximum-span predicate tests passed.","Multi-window import with a failing middle window and full-scan checkpoint was not executed.","final 78-test simulator run"
DATA-06,P1,NOT_RUN,"Activity revision/reopen has local coverage.","Timezone/locale reinterpretation and idempotent correction were not executed end to end.","final 78-test simulator run"
DATA-07,P1,BLOCKED,"Workout parent/child SQLite storage has synthetic coverage.","Actual associated workout events and heart-rate HealthKit queries require a seeded device.","final 78-test simulator run"
DATA-08,P0,NOT_RUN,"Parent deletion tombstones children; progress/retry and revised-workout reset have tests.","Termination between child-page save and cursor advance plus old child-batch response was not fully executed.","final 78-test simulator run"
DATA-09,P1,BLOCKED,"Unavailable-oldest fairness, 2001-job draining, retry after reopen, and partial-page retention passed synthetically.","Actual HealthKit workout associations and optional-detail availability remain device-bound.","final 78-test simulator run"
SLP-01,P1,PASS,"Overlapping intervals are normalized without double counting.","Synthetic UTC oracle passed.","final 78-test simulator run"
SLP-02,P1,PASS,"Detailed-source precedence and stable equal-coverage tie-breaking passed.","Synthetic UTC oracle passed.","final 78-test simulator run"
SLP-03,P1,PASS,"Awake priority and independent in-bed intersection passed.","Synthetic UTC oracle passed.","final 78-test simulator run"
SLP-04,P1,BLOCKED,"Window selection and measured-zero handling passed.","Night-window vital display and source/timestamp UI require device visual evidence.","final 78-test simulator run"
SLP-05,P1,PASS,"Two nights, nap separation, exact gap, and latest-completed rules passed.","Synthetic interval oracle passed.","final 78-test simulator run"
SLP-06,P1,BLOCKED,"Stored latest-completed and recent-history selection passed.","Dashboard and history visual consistency was not rendered or inspected.","final 78-test simulator run"
SLP-07,P1,PASS,"Deleted and invalid-stage rows are excluded; recomputation removes stale derived rows.","Synthetic SQLite oracle passed.","final 78-test simulator run"
SLP-08,P0,PASS,"100001-row history, equal-timestamp boundaries, cancellation, decode failure, and concurrent-change reconciliation passed.","This is local SQLite evidence, not HealthKit or phone performance.","final 78-test simulator run"
SYNC-01,P0,BLOCKED,"Local-first ledger and consent state have automated coverage.","Fresh-install device UI plus isolated receiver traffic observation were not executed.","final 78-test simulator run"
SYNC-02,P0,PASS,"200-event and 128-KiB bounds, immutable bytes, durable backoff, reopen, and oversized-event retention passed.","Synthetic SQLite and transport evidence only.","final 78-test simulator run; gateway 3/3"
SYNC-03,P0,PASS,"Receipt matching, deletion-after-reservation, reopen, and duplicate receipt behavior passed.","Synthetic SQLite and transport evidence only.","final 78-test simulator run; gateway 3/3"
SYNC-04,P0,PASS,"Stable exact request bytes and batch ID across retry plus server exact-retry idempotency passed.","No public/private network or Tokyo claim.","gateway 3/3; refreshed Rust 69 tests"
SYNC-05,P0,PASS,"Unbound, wrong-batch, malformed, insufficient, and metrics-generation receipt paths cannot advance local state.","Synthetic response fixtures only.","final 78-test simulator run"
SYNC-06,P1,BLOCKED,"Durable retry and outage queue retention passed synthetically.","Tailscale, receiver stop/start, and signed-device recovery were not exercised.","final 78-test simulator run; Rust tests"
SYNC-07,P0,BLOCKED,"Persisted consent withdrawal and cancellation gates have local tests.","Already-dispatched device request accounting across restart/background requires device evidence.","final 78-test simulator run"
SYNC-08,P1,BLOCKED,"Cloud-saved versus metrics-current state is represented and metrics outage keeps durable work.","Native VictoriaMetrics recovery/readback and UI inspection are unavailable.","Rust tests; source review"
SYNC-09,P0,BLOCKED,"Cancellation-before-registration, after-install, duplicate-callback, and no-new-request tests passed.","The acceptance method still requires signed-device follow-up and full ledger/request trace.","final 78-test simulator run"
API-01,P0,PASS,"Batch commit and late-failure atomicity across events, audit, receipt, and outbox passed.","Isolated synthetic receiver only.","refreshed Rust 69 tests; HTTP 8/8"
API-02,P0,PASS,"Exact retry, body conflict including whitespace, revision conflict, and rollback passed.","Isolated synthetic receiver only.","refreshed Rust 69 tests"
API-03,P0,PASS,"Event/byte limits, invalid schema and fields, malformed bodies, and no-mutation checks passed.","Isolated synthetic receiver only.","refreshed Rust 69 tests; HTTP 8/8"
API-04,P0,PASS,"Two-device authorization, batch collision, and cross-device read/write/erase isolation passed.","Isolated synthetic receiver only.","refreshed Rust 69 tests"
API-05,P0,NOT_RUN,"Single-use, expiry, concurrency, and strict 64-hex subsets passed.","The complete boundary, duplicate-active-device, at-rest hash, and log-redaction observations were not captured as one case.","refreshed Rust 69 tests"
API-06,P0,NOT_RUN,"Device revocation and control tombstone subsets passed.","All-route authorization plus operator lost-phone CLI audit was not fully executed.","refreshed Rust 69 tests"
API-07,P0,PASS,"Production Swift fixture bytes, receipt hash/counts, every stored field, and SQLite readback passed.","Synthetic fixture only.","refreshed Rust 69 tests; gateway 3/3"
API-08,P1,NOT_RUN,"Bounded large-history and tombstone subsets passed.","A real receiver-process restart with receipt/job oracle was not captured.","refreshed Rust 69 tests"
OPS-01,P0,BLOCKED,"Closed-gate and runtime-identity-loss subsets passed.","The complete Linux gate matrix and retained-job checks require an approved host.","refreshed Rust 69 tests"
OPS-02,P0,BLOCKED,"Runtime identity checks are implemented.","Native Linux VictoriaMetrics binary/listener/mount identity and impostor matrix are unavailable.","Source review only"
OPS-03,P0,BLOCKED,"Metric mapping and versioned sleep projection-job tests passed.","Native VictoriaMetrics import/export readback is unavailable.","refreshed Rust 69 tests"
OPS-04,P0,BLOCKED,"Generation-marker demotion, transaction rollback, corrupt marker, and retry bounds passed locally.","Native VM fault injection and exact readback across restart remain unavailable.","refreshed Rust 69 tests"
OPS-05,P0,BLOCKED,"Receiver defaults to loopback and private-origin validation is tested.","Tokyo socket ownership, Tailscale ACL, certificate, denied peer, and Funnel state are unavailable.","Source review; final 78-test simulator run"
OPS-06,P0,BLOCKED,"HTTP/public/lookalike/path/query/fragment/credential/port/redirect rejection tests passed.","Invalid-certificate and valid private-origin request capture on a signed device were not executed.","final 78-test simulator run"
OPS-07,P0,NOT_RUN,"Parent traversal, database symlink/hardlink, legacy alias, and valid initialization subsets passed.","The complete parent-symlink, nonregular/zero-byte, every alias, and zero-filesystem-change matrix was not proven.","refreshed Rust 69 tests"
OPS-08,P0,BLOCKED,"Control head/mirror divergence tests and reconciliation subsets passed.","Full process crash matrix, lifecycle supervision, store-ID failures, and log review require isolated Linux execution.","refreshed Rust 69 tests"
ERA-01,P0,BLOCKED,"Cancellation and client persistence design is present.","The complete signed-device confirmation ordering and UI flow were not executed.","Source review only"
ERA-02,P0,NOT_RUN,"Control intent, tombstone-before-health convergence, resumption, and reconciliation subsets passed.","The full process crash matrix at every boundary and two-device final oracle was not captured.","refreshed Rust 69 tests"
ERA-03,P0,NOT_RUN,"Strict legal-state/time validation, wrong identity rejection, pending-secret retention, and server erasure resumption have tests.","The complete lost-response, wrong-secret, cross-device, UI, rotation, and deletion oracle was not executed as one case.","final 78-test simulator run; refreshed Rust 69 tests"
ERA-04,P0,BLOCKED,"Three-way backup inventory now rejects missing file/manifest, missing control event and hash mismatch before mutation.","Full pending-metrics to expiry transition requires native VictoriaMetrics readback, process-crash and operational inventory evidence.","Refreshed Rust 69 tests; native Tokyo not run"
ERA-05,P0,BLOCKED,"Valid completion rotates device ID once and replay cannot roll it back in synthetic tests.","Keychain/restart/offline behavior plus new pairing and consent require a signed device and isolated Tokyo receiver.","final 78-test simulator run"
BAK-01,P0,BLOCKED,"WAL snapshot, integrity, manifest/control checkpoint and file-hash binding have local tests; production CLI rejects flag-only backup mount claims before mutation.","Actual dm-crypt backup target and process-interrupted publication remain unverified.","Refreshed Rust 69 tests; encrypted host not run"
BAK-02,P0,BLOCKED,"Operation and lifecycle locks plus backup/erasure deferral have local tests.","Process-level race, retained ordering and encrypted-volume behavior remain unverified.","Refreshed Rust 69 tests"
BAK-03,P0,BLOCKED,"Inventory validation binds files, manifests, SHA-256 values and active control events; missing artifact/event/hash and flag-only encryption claims reject before mutation.","Complete 28/29/30-day process-crash, failed-removal, scheduler and alert matrix remains unverified.","Refreshed Rust 69 tests; Tokyo scheduler not run"
BAK-04,P0,BLOCKED,"Control and health staging CLIs verify expected head/snapshot identity and can stage with corrupt live database content while retaining live-directory and lifecycle-lock gates; they stop at projection_rebuild_required.","Isolated native VM rebuild/readback, completed restore epoch and live cutover are absent.","Refreshed Rust 69 tests; Server/src/recovery.rs"
BAK-05,P0,BLOCKED,"Staged old-snapshot, post-replay replacement and WAL-only mutation tests exercise all-applicable tombstone replay; erased identity is not revived in staged health data.","Native VM series cleanup/readback, completed epoch, replacement and second-generation restore remain unverified.","Refreshed Rust 69 tests; native Tokyo not run"
BAK-06,P0,BLOCKED,"Staging validation and lifecycle lock are implemented; no deployment or rollback was performed.","Completed restore epoch, cutover/rollback and approved isolated Tokyo deployment remain absent.","Refreshed Rust 69 tests; 2026-09-19 README"
UX-01,P1,BLOCKED,"View code compiled and simulator tests passed.","No visual PRD or app-flow render was accepted; physical iPhone layout evidence is absent.","Unsigned build; no visual pass claim"
UX-02,P1,BLOCKED,"Accessibility code compiled.","VoiceOver, Dynamic Type, contrast, Reduce Motion, focus, and touch-target tasks require device inspection.","Unsigned build only"
UX-03,P2,BLOCKED,"Haptic call sites compiled.","Physical haptic behavior with settings and Watch was not observed.","Unsigned build only"
UX-04,P0,BLOCKED,"Protected-data failure paths have synthetic subsets.","Before-first-unlock, locked-device, background delivery, Keychain, and resume require a signed device.","final 78-test simulator run"
UX-05,P1,BLOCKED,"Reopen and retry mechanisms passed synthetically.","System suspension, Watch-origin data, missed wake, and reconnect behavior require physical devices.","final 78-test simulator run"
PERF-01,P1,BLOCKED,"Local medians were recorded for 10000 and 100000 synthetic records with no greater-than-15-percent regression.","Fixed iPhone hardware, HealthKit import, UI responsiveness, CPU, battery, free-space budget, and termination resume remain unverified.","2026-09-19 README performance table"
PERF-02,P1,BLOCKED,"Bounded receiver ingestion and metrics-outage durability passed synthetically.","Native Tokyo commit/projection/backup/restore distributions and resource measurements are unavailable.","refreshed Rust 69 tests; 2026-09-19 README"
